$padding$	0
$start_of_sequence$	0
$oov$	0
the	13586
to	10321
?	7817
.	6885
a	6868
is	6517
and	6036
are	5903
not	5384
of	5273
should	4896
for	4569
be	4542
,	4235
in	4176
do	3221
it	2817
n't	2798
have	2788
people	2298
that	2291
can	2255
their	2167
they	2051
need	1923
with	1859
more	1827
or	1770
's	1761
we	1699
on	1646
students	1450
-	1412
will	1384
children	1316
good	1180
as	1166
at	1134
does	1069
would	1015
has	1014
them	1012
many	1012
what	971
all	964
from	958
there	920
other	902
some	870
than	851
libraries	847
school	818
an	813
get	789
too	776
college	765
parents	750
government	734
public	715
by	713
home	710
schools	708
colleges	707
everyone	696
no	684
money	684
this	679
out	665
if	663
still	639
us	637
programs	636
way	631
high	621
being	612
make	611
teachers	592
new	583
when	573
bad	571
work	557
how	553
allowed	543
salt	531
without	529
much	526
those	523
most	516
who	506
only	506
companies	501
better	494
but	484
learn	479
these	477
ca	472
best	468
use	460
sports	460
been	455
about	454
time	451
humanities	436
one	433
help	431
so	430
like	428
kids	426
could	426
were	424
want	423
our	421
education	419
'	418
u.s.	416
israel	415
online	413
banks	399
comment	394
internet	389
i	389
sections	387
food	387
you	383
just	376
free	375
states	374
right	374
important	370
working	368
schoolers	366
information	365
country	354
mandatory	351
provide	348
well	347
job	343
american	339
even	331
place	330
illegal	328
teach	325
protect	323
into	322
costs	318
women	316
unpaid	315
less	315
economy	314
cost	312
world	310
was	307
take	307
control	307
needs	303
enough	303
go	301
veganism	297
making	294
longer	293
things	292
always	292
pay	288
failed	287
same	284
state	283
support	279
society	277
""""	275
access	271
experience	270
court	270
years	267
york	265
tax	265
child	265
off	264
internships	264
own	263
tip	262
lanes	261
casinos	261
against	257
syria	256
simply	251
research	250
its	250
because	250
legal	249
bike	249
life	248
vaccination	246
far	245
prostitution	243
did	240
play	239
already	238
evolve	237
available	237
able	237
often	236
may	235
diet	235
know	234
tenure	232
citizens	232
cities	232
over	231
social	229
middle	229
maybe	228
lead	228
up	227
economic	225
drugs	225
lose	224
health	224
having	224
wo	222
police	222
doing	222
change	221
which	220
media	218
marijuana	218
religious	217
care	214
table	213
americans	213
your	212
restaurants	210
workers	207
cut	207
her	206
young	202
really	202
teams	201
dual	201
benefits	201
classes	200
abuse	200
justice	198
universities	197
organic	197
laws	197
create	197
very	196
smart	195
made	195
say	192
printing	192
labor	192
getting	192
community	192
private	191
person	191
find	191
done	191
city	190
citizenship	190
players	189
obamacare	189
exploit	189
cars	189
worth	188
technology	187
win	186
french	186
 	186
candidate	185
big	185
stand	184
recent	184
safer	183
safe	182
america	182
dropping	181
undergraduate	180
live	179
any	178
themselves	177
makes	177
assad	177
gains	176
stop	175
papers	174
low	174
ever	174
break	174
my	172
taxes	171
knowledge	171
departments	171
now	170
medical	170
comments	170
first	169
doping	168
reality	166
pot	166
isis	165
human	165
united	164
debt	164
vegans	162
real	162
nato	161
jobs	161
deserve	161
tv	159
stability	159
preschool	159
living	159
dangerous	159
common	159
capital	158
also	158
while	157
obese	156
family	156
see	155
hurt	155
become	155
threat	154
learning	154
families	154
cat	154
turn	153
healthy	153
fees	153
olympics	152
necessary	152
librarians	152
down	152
attacks	152
credibility	151
supreme	150
rail	150
farms	150
such	149
fight	148
allow	148
mayor	147
built	147
system	146
interns	146
rights	145
raised	145
immigrants	145
grade	145
gambling	145
away	145
group	144
greater	144
line	143
student	142
drug	142
customers	142
afford	142
rate	141
law	141
widespread	140
hard	140
eat	140
quickly	139
paid	139
books	139
benefit	139
shows	137
show	137
give	137
field	137
risk	136
obscenity	136
future	136
disabled	136
used	134
through	134
problems	134
motherhood	134
little	134
legislation	134
harmful	134
thinking	133
choice	133
voting	132
needed	132
keep	132
countries	132
campus	132
rates	131
investment	131
expense	131
classroom	131
reason	130
peace	130
might	130
weapons	129
power	129
gamble	129
regulated	128
officers	128
provides	127
part	127
day	127
personal	126
lot	126
few	126
poor	125
lack	125
fema	125
attack	125
worse	124
today	124
his	124
harm	124
exemptions	124
cause	124
supporting	123
philosophical	123
nuclear	123
higher	123
chefs	123
sometimes	122
large	122
christians	121
useful	120
instead	120
each	120
courses	120
consider	120
colorado	120
program	119
prevent	119
never	119
national	119
lives	119
language	119
gays	118
euro	118
accountable	118
status	117
parenting	117
exercise	117
diners	117
follow	116
think	115
succeed	114
security	114
rim	114
pros	114
immunized	114
dumber	114
cons	114
class	114
sex	113
california	113
avoid	113
ways	112
vegan	112
others	112
taxing	111
shakers	111
legalized	111
issues	111
homework	111
electric	111
anyone	111
3-d	111
tipping	110
problem	110
curriculum	110
extreme	109
denounce	109
atmosphere	109
professional	108
internship	108
effect	108
after	108
violence	107
sense	107
lost	107
force	107
survive	106
self	106
require	106
employees	106
elsewhere	106
sensible	105
market	105
individual	105
crime	105
offer	104
tough	103
places	103
opinions	103
going	103
annoying	103
she	102
profession	102
id	102
drone	102
cuba	102
businesses	101
something	100
services	100
quality	100
long	100
different	100
tfa	99
outweigh	99
mean	99
matter	99
chef	99
value	98
interest	98
influence	98
immigration	98
before	98
competition	97
beliefs	97
small	96
properly	96
library	96
culture	96
:	96
willing	95
times	95
politics	95
bring	95
'd	95
age	94
strict	93
cards	93
valuable	92
trusted	92
hold	92
usually	91
teaching	91
record	91
drop	91
spelman	90
modern	90
intercollegiate	90
footsteps	90
europe	90
east	90
delay	90
cameras	90
c.i.a.	90
ball	90
russia	89
hurts	89
choose	89
easily	88
war	87
stenographers	87
healthier	87
gain	87
fair	87
eating	87
anyway	87
under	86
required	86
removed	86
happy	86
given	86
deal	86
stay	85
resources	85
taught	84
streets	84
relevant	84
insurance	84
expendable	84
vaccine	83
proper	83
love	83
handle	83
greece	83
doctors	83
declaw	83
come	83
both	83
using	82
starting	82
skills	82
short	82
great	82
effective	82
changes	82
advice	82
savings	81
safety	81
response	81
industry	81
faculty	81
created	81
between	81
then	80
success	80
serve	80
rich	80
means	80
every	80
business	80
vegetables	79
nothing	79
cultures	79
whole	78
strikes	78
non	78
natural	78
minorities	78
improve	78
humanity	78
goal	78
football	78
focus	78
start	77
look	77
taking	76
rather	76
protections	76
once	76
move	76
drive	76
build	76
athletes	76
academic	76
writing	75
websites	75
wear	75
speed	75
professors	75
legalize	75
impact	75
entrenched	75
end	75
chemical	75
around	75
turning	74
policy	74
me	74
died	74
appropriate	74
activities	74
wage	73
remain	73
process	73
political	73
forced	73
election	73
approach	73
waste	72
wal	72
verdict	72
understand	72
since	72
remaking	72
privatization	72
network	72
mart	72
koch	72
helping	72
hamas	72
fatah	72
encouraged	72
charter	72
broken	72
bloomberg	72
bicycle	72
based	72
allegiance	72
germany	71
current	71
constitutional	71
another	71
treatment	70
teacher	70
successful	70
lower	70
interests	70
increasingly	70
idea	70
grow	70
funding	70
critical	70
air	70
sanctions	69
regime	69
minor	69
global	69
financial	69
exist	69
demanding	69
counterproductive	69
behind	69
vote	68
violations	68
lift	68
leads	68
choices	68
allows	68
adults	68
addiction	68
accept	68
testing	67
study	67
role	67
results	67
raise	67
paying	67
machines	67
issue	67
body	67
affect	67
regular	66
miss	66
left	66
graduation	66
chances	66
beyond	66
wrong	65
speech	65
refuse	65
predictions	65
point	65
fun	65
efforts	65
computer	65
revenue	64
likely	64
events	64
equal	64
apps	64
advantage	64
add	64
three	63
rules	63
responsible	63
reach	63
queen	63
prices	63
order	63
opportunity	63
elizabeth	63
earn	63
depend	63
critics	63
cia	63
charge	63
almost	63
agency	63
wants	62
true	62
restaurant	62
read	62
environment	62
eliminate	62
company	62
wonder	61
try	61
training	61
taken	61
reasons	61
put	61
open	61
gateway	61
found	61
correct	61
communities	61
budget	61
adult	61
vitamins	60
vacations	60
traffic	60
technologies	60
taller	60
style	60
save	60
rest	60
protects	60
number	60
moderation	60
fiscal	60
ethical	60
compelling	60
back	60
atlantic	60
action	60
unhealthy	59
ruining	59
possible	59
outside	59
had	59
gives	59
foreign	59
ensure	59
constant	59
taxed	58
harder	58
essential	58
easy	58
average	58
spouse	57
opinion	57
must	57
memories	57
local	57
hall	57
genes	57
fired	57
felons	57
fame	57
devolving	57
buildings	57
though	56
sexist	56
preference	56
healthful	56
bottom	56
backed	56
together	55
served	55
legally	55
informed	55
ability	55
step	54
standards	54
speak	54
schooled	54
questions	54
presidential	54
pledging	54
omnivores	54
nation	54
muslims	54
lowering	54
ii	54
fighting	54
federal	54
exploitation	54
expanding	54
enjoy	54
eliminating	54
dire	54
diets	54
consumers	54
conservatives	54
cats	54
're	54
where	53
price	53
increase	53
income	53
guns	53
feeding	53
else	53
announce	53
allies	53
vast	52
service	52
